분석 시간 : 2026-05-13 08:50:30 (Execution time: 574.70 seconds)

예측별 신호 횟수:
전환예측: 강한상승: 0, 상승: 1, 하락: 38, 강한하락: 0
초단기예측: 강한상승: 0, 상승: 4, 하락: 46, 강한하락: 0
이격도예측: 강한상승: 0, 상승: 1, 하락: 13, 강한하락: 0
단기예측: 강한상승: 0, 상승: 4, 하락: 3, 강한하락: 0

최근 3일 기준 종목별 신호
날짜: 2026-05-13 - 강한상승: 0, 상승: 1, 하락: 23, 강한하락: 0
 - 코스맥스(192820) 강한상승: 0, 상승: 1, 하락: 0, 강한하락: 0, 이격도: 102.9
 - DGB금융지주(139130) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 97.61
 - DL이앤씨2우(전환)(37550L) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 88.92
 - GS피앤엘(499790) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 91.93
 - KB발해인프라(415640) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 99.44
 - LX홀딩스(383800) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 96.1
 - NH올원리츠(400760) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 91.86
 - SJM(123700) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 98.52
 - SK바이오팜(326030) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 100.64
 - SNT에너지(100840) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 92.19
 - 디앤디플랫폼리츠(377190) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 89.34
 - 솔루스첨단소재1우(33637K) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 87.89
 - 신한글로벌액티브리츠(481850) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 90.24
 - 신한서부티엔디리츠(404990) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 91.35
 - 에코프로머티(450080) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 91.15
 - 이지스밸류리츠(334890) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 94.82
 - 일진하이솔루스(271940) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 94.58
 - 코람코라이프인프라리츠(357120) 강한상승: 0, 상승: 0, 하락: 1, 강한하락: 0, 이격도: 94.74
